,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,HORA,Date
422,925.39,841.771,439.8,954.5,14,18/3/2015
423,925.4,841.75,439.81,954.5,15,18/3/2015
424,925.4,841.731,439.81,954.5,16,18/3/2015
425,925.4,841.707,439.81,954.5,17,18/3/2015
426,925.4,841.685,439.81,954.5,18,18/3/2015
427,925.41,841.662,439.81,954.49,19,18/3/2015
428,925.41,841.639,439.8,954.49,20,18/3/2015
429,925.41,841.654,439.8,954.49,21,18/3/2015
430,925.41,841.669,439.79,954.49,22,18/3/2015
431,925.41,841.687,439.79,954.49,23,18/3/2015
432,925.41,841.702,439.78,954.49,0,19/3/2015
433,925.4,841.719,439.78,954.49,1,19/3/2015
434,925.39,841.73,439.78,954.49,2,19/3/2015
435,925.38,841.75,439.76,954.49,3,19/3/2015
436,925.38,841.765,439.75,954.49,4,19/3/2015
437,925.37,841.781,439.75,954.49,5,19/3/2015
438,925.37,841.791,439.76,954.49,6,19/3/2015
439,925.37,841.81,439.77,954.49,7,19/3/2015
440,925.37,841.82,439.77,954.49,8,19/3/2015
441,925.38,841.84,439.78,954.48,9,19/3/2015
442,925.38,841.85,439.78,954.48,10,19/3/2015
443,925.38,841.83,439.79,954.48,11,19/3/2015
444,925.38,841.81,439.79,954.48,12,19/3/2015
445,925.38,841.78,439.8,954.48,13,19/3/2015
446,925.38,841.76,439.8,954.48,14,19/3/2015
447,925.38,841.74,439.81,954.48,15,19/3/2015
448,925.39,841.7,439.83,954.48,16,19/3/2015
449,925.39,841.69,439.84,954.48,17,19/3/2015
450,925.39,841.667,439.84,954.48,18,19/3/2015
451,925.39,841.64,439.84,954.48,19,19/3/2015
452,925.39,841.615,439.84,954.48,20,19/3/2015
453,925.39,841.629,439.83,954.48,21,19/3/2015
454,925.39,841.646,439.82,954.48,22,19/3/2015
455,925.39,841.66,439.81,954.48,23,19/3/2015
456,925.4,841.674,439.8,954.48,0,20/3/2015
457,925.4,841.69,439.79,954.48,1,20/3/2015
458,925.39,841.703,439.8,954.48,2,20/3/2015
459,925.38,841.719,439.82,954.48,3,20/3/2015
460,925.38,841.733,439.83,954.48,4,20/3/2015
461,925.38,841.749,439.84,954.48,5,20/3/2015
462,925.38,841.762,439.84,954.47,6,20/3/2015
463,925.38,841.777,439.85,954.47,7,20/3/2015
464,925.38,841.79,439.85,954.47,8,20/3/2015
465,925.38,841.8,439.84,954.47,9,20/3/2015
466,925.38,841.81,439.82,954.47,10,20/3/2015
467,925.38,841.78,439.8,954.47,11,20/3/2015
468,925.38,841.76,439.79,954.47,12,20/3/2015
469,925.38,841.74,439.78,954.47,13,20/3/2015
470,925.38,841.71,439.78,954.47,14,20/3/2015
471,925.39,841.69,439.79,954.46,15,20/3/2015
472,925.39,841.66,439.8,954.46,16,20/3/2015
473,925.39,841.64,439.78,954.46,17,20/3/2015
474,925.39,841.61,439.76,954.46,18,20/3/2015
475,925.39,841.59,439.75,954.46,19,20/3/2015
476,925.4,841.56,439.74,954.46,20,20/3/2015
477,925.4,841.57,439.72,954.46,21,20/3/2015
478,925.4,841.58,439.7,954.46,22,20/3/2015
479,925.4,841.6,439.71,954.46,23,20/3/2015
480,925.4,841.61,439.72,954.46,0,21/3/2015
481,925.39,841.63,439.73,954.46,1,21/3/2015
482,925.38,841.64,439.74,954.46,2,21/3/2015
483,925.37,841.66,439.75,954.46,3,21/3/2015
484,925.37,841.67,439.75,954.46,4,21/3/2015
485,925.37,841.68,439.76,954.46,5,21/3/2015
486,925.37,841.7,439.77,954.45,6,21/3/2015
487,925.37,841.719,439.77,954.45,7,21/3/2015
488,925.37,841.733,439.78,954.45,8,21/3/2015
489,925.37,841.747,439.78,954.45,9,21/3/2015
490,925.37,841.754,439.79,954.45,10,21/3/2015
491,925.37,841.733,439.79,954.45,11,21/3/2015
492,925.37,841.707,439.79,954.45,12,21/3/2015
493,925.37,841.68,439.8,954.45,13,21/3/2015
494,925.37,841.66,439.81,954.45,14,21/3/2015
495,925.37,841.632,439.8,954.45,15,21/3/2015
496,925.37,841.608,439.78,954.45,16,21/3/2015
497,925.37,841.57,439.76,954.44,17,21/3/2015
498,925.37,841.55,439.75,954.44,18,21/3/2015
499,925.37,841.527,439.73,954.44,19,21/3/2015
500,925.38,841.501,439.72,954.44,20,21/3/2015
501,925.38,841.516,439.71,954.44,21,21/3/2015
502,925.38,841.529,439.7,954.44,22,21/3/2015
503,925.38,841.542,439.7,954.44,23,21/3/2015
504,925.38,841.557,439.72,954.43,0,22/3/2015
505,925.38,841.571,439.73,954.43,1,22/3/2015
506,925.38,841.58,439.73,954.43,2,22/3/2015
507,925.36,841.6,439.74,954.43,3,22/3/2015
508,925.35,841.61,439.75,954.43,4,22/3/2015
